id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t025,Carrier delivered to the wrong address. The address on the label is not mine.,order_status,order_status,The customer is describing a delivery issue and asking for clarification on what happened.,True,improved,v2,,
t026,Order was sent to an address I don't recognize and now it's gone. What happened?,order_status,order_status,The customer is asking for information about the order's status after it was sent to an unrecognized address.,True,improved,v2,,
t027,Where exactly is order #50221? I need it for my wedding tomorrow.,order_status,order_status,The customer is asking for information about the status of their order.,True,improved,v2,,
t028,Order #50221 is for my wedding tomorrow. Where is it??,order_status,order_status,The customer is asking about the status of their order.,True,improved,v2,,
t029,Wedding is tomorrow and order 50221 still hasn't arrived. Please help.,order_status,order_status,The customer is asking for help regarding a late order that has not arrived.,True,improved,v2,,
t030,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,The customer is asking to return the item and get their money back.,True,improved,v2,,
t031,Need to return these unopened headphones — refund please.,refund_request,refund_request,The customer is explicitly asking for a refund for the unopened headphones.,True,improved,v2,,
t032,"Hey, the headphones I bought last week are still sealed — can I return them for my money back?",refund_request,refund_request,The customer is asking to return the headphones for their money back.,True,improved,v2,,
t033,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The customer is asking for a refund for their order.,True,improved,v2,,
t034,Cancel order 99021 and refund the charge — I changed my mind.,refund_request,refund_request,The customer is asking for a refund after deciding to cancel the order.,True,improved,v2,,
t035,Please void order 99021 and put the money back on my card.,refund_request,refund_request,The customer is asking for their money back.,True,improved,v2,,
t036,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The customer is asking about their refund status after returning an item.,True,improved,v2,,
t037,"Returned the item two weeks ago, no refund yet — where is it?",refund_request,refund_request,The customer is asking for a refund for the returned item.,True,improved,v2,,
t038,I sent the product back 14 days ago. My card still hasn't been credited. What's the holdup?,refund_request,refund_request,The customer is asking for their money back after returning a product.,True,improved,v2,,
t039,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The customer is asking for a refund of the difference in charge.,True,improved,v2,,
t040,"Charged $89, but the site listed $79. Please refund the $10 difference.",refund_request,refund_request,The customer is asking for a refund of the $10 difference.,True,improved,v2,,
t041,You overcharged me by $10. Please credit the difference back to my card.,refund_request,refund_request,The customer is asking for a credit back to their card due to being overcharged.,True,improved,v2,,
t042,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,"The customer is asking for cash back to their original card, indicating a request for a refund.",True,improved,v2,,
t043,"Returning these — and please refund to my card, not store credit.",refund_request,refund_request,The customer is explicitly asking for a refund to their card.,True,improved,v2,,
t044,Happy to return these but I'd rather get a real refund than store credit.,refund_request,refund_request,The customer explicitly asks for a refund instead of store credit.,True,improved,v2,,
t045,I was double-charged on the same order. Please refund the duplicate transaction.,refund_request,refund_request,The customer is asking for a refund due to being double-charged.,True,improved,v2,,
t046,There are two charges on my card for the same order. Please refund one.,refund_request,refund_request,The customer is asking for a refund for one of the duplicate charges.,True,improved,v2,,
t047,Card was hit twice for one order — please reverse the duplicate.,refund_request,refund_request,"The customer is asking to reverse a duplicate charge, which implies a request for a refund.",True,improved,v2,,
t048,The price dropped two days after I bought it. Can I get the difference back?,refund_request,refund_request,"The customer is asking to get the price difference back, which is a request for a refund.",True,improved,v2,,
t049,Saw the same item dropped in price right after I bought it. Any way to get the difference?,refund_request,refund_request,The customer is asking for a refund of the price difference.,True,improved,v2,,
t050,Item went on sale right after I ordered. Do you do price adjustments?,refund_request,other,"The customer is asking about a price adjustment, which does not fit into the other specified categories.",False,improved,v2,,
t051,Cancel my subscription and refund this month's charge — I never used it.,refund_request,refund_request,The customer is asking for a refund for the charge.,True,improved,v2,,
t052,Please cancel my subscription and refund this month — I haven't used the service.,refund_request,refund_request,The customer is asking for a refund for the current month.,True,improved,v2,,
t053,"Subscription cancel + refund of this month, please. I haven't used it once.",refund_request,refund_request,The customer is asking for a refund for the current month's subscription.,True,improved,v2,,
t054,Your return window says 30 days. I missed it by 2 days. Refund anyway?,refund_request,refund_request,The customer is asking for a refund despite missing the return window.,True,improved,v2,,
t055,I'm just past the 30-day return window — would you still take it back for a refund?,refund_request,refund_request,The customer is asking for a refund despite being past the return window.,True,improved,v2,,
t056,Return window technically ended 2 days ago. Any chance of a refund?,refund_request,refund_request,The customer is asking for a refund.,True,improved,v2,,
t057,Disputing this charge with my bank — but I'd rather just get a refund directly from you.,refund_request,refund_request,The customer is asking for a refund directly.,True,improved,v2,,
t058,Was about to dispute with my bank — would rather just get refunded by you instead.,refund_request,refund_request,The customer is asking for a refund instead of disputing with their bank.,True,improved,v2,,
t059,Don't want to do a chargeback — please just refund me directly.,refund_request,refund_request,The customer is explicitly asking for a refund.,True,improved,v2,,
t060,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,The customer is describing a broken item that arrived.,True,improved,v2,,
t061,Coffee maker showed up with the carafe cracked. Not happy.,product_issue,product_issue,The customer is reporting a broken item that arrived.,True,improved,v2,,
t062,The carafe on the coffee maker was already cracked when I opened the box.,product_issue,product_issue,The customer is reporting a broken item that arrived.,True,improved,v2,,
t063,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,The customer received the wrong item and is reporting a recurring issue.,True,improved,v2,,
t064,"Wrong size again — got a medium, ordered a large. This is twice now.",product_issue,product_issue,The customer received the wrong size item and is indicating a problem with the product.,True,improved,v2,,
t065,I ordered a large shirt and you sent a medium. Second time this has happened.,product_issue,product_issue,The customer received the wrong item and is indicating a problem with the product.,True,improved,v2,,
t066,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,"The item arrived damaged and incomplete, but no refund is requested.",True,improved,v2,,
t067,"Product works, but the box arrived crushed and there's no manual inside.",product_issue,product_issue,"The item arrived broken and missing a manual, indicating a product issue.",True,improved,v2,,
t068,Box was destroyed and the manual is missing. The actual product is fine though.,product_issue,product_issue,"The item arrived with a destroyed box and missing manual, indicating a product issue.",True,improved,v2,,
t069,It's defective — third one in a row from your store.,product_issue,product_issue,"The customer states the item is defective, indicating a product issue.",True,improved,v2,,
t070,Third defective unit from you — this one doesn't work either.,product_issue,product_issue,The customer is stating that the item arrived defective.,True,improved,v2,,
t071,Yet another defective product. Three for three from your store.,product_issue,product_issue,The customer is indicating that the product is defective.,True,improved,v2,,
t072,"My laptop arrived damaged and I want a full refund, not a replacement.",refund_request,refund_request,The customer explicitly asked for a full refund for the damaged laptop.,True,improved,v2,,
t073,"Laptop showed up damaged. I want my money back, not a replacement.",refund_request,refund_request,The customer explicitly asked for their money back.,True,improved,v2,,
t074,"Damaged laptop on arrival — please refund me in full, no replacement.",refund_request,refund_request,The customer is asking for a refund for the damaged laptop.,True,improved,v2,,
t075,Sent the wrong color — I want my money back.,refund_request,refund_request,The customer explicitly states they want their money back.,True,improved,v2,,
t076,Wrong color shipped. Refund please.,refund_request,refund_request,The customer is explicitly asking for a refund.,True,improved,v2,,
t077,You sent the wrong color. Just refund me.,refund_request,refund_request,The customer is asking for a refund due to receiving the wrong color.,True,improved,v2,,
t078,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,The customer is stating that the item was not as described.,True,improved,v2,,
t079,Description claimed wireless. I had to buy a dongle separately. Felt misled.,product_issue,product_issue,"The customer feels misled about the product description, indicating an issue with the item received.",True,improved,v2,,
t080,"Item is technically wireless but only with a separate dongle, which the listing didn't mention.",product_issue,product_issue,The item was not as described in the listing.,True,improved,v2,,
t081,This pillow is way smaller than what the photos suggested. False advertising.,product_issue,product_issue,The customer is stating that the item is not as described.,True,improved,v2,,
t082,Pillow is much smaller than the photos. Misleading.,product_issue,product_issue,The customer is stating that the item is not as described.,True,improved,v2,,
t083,"Got the pillow, it's tiny compared to the photos on the site.",product_issue,product_issue,The customer is indicating that the item received does not match the description or expectations.,True,improved,v2,,
t084,The blender stopped working after 3 days. Can I get a replacement?,product_issue,product_issue,The customer is asking for a replacement due to the item being defective.,True,improved,v2,,
t085,"Blender died after three days of use. Replacement, please.",product_issue,product_issue,The customer is requesting a replacement for a broken item.,True,improved,v2,,
t086,My blender stopped working three days in — can you send a replacement?,product_issue,product_issue,The customer is asking for a replacement due to the item being defective.,True,improved,v2,,
t087,Item smells strongly of chemicals — definitely not okay to use around food.,product_issue,product_issue,"The item arrived with a strong chemical smell, indicating a product issue.",True,improved,v2,,
t088,Strong chemical smell on the item. I wouldn't use this around food.,product_issue,product_issue,The customer is indicating a problem with the item due to a strong chemical smell.,True,improved,v2,,
t089,Whatever you sent reeks of chemicals. Not food-safe.,product_issue,product_issue,The customer is indicating that the item is not as described and has safety concerns.,True,improved,v2,,
t090,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,The customer is asking for help with logging into their account.,True,improved,v2,,
t091,Password reset didn't help — still can't log in.,account_help,account_help,The customer is asking for help with their login issue.,True,improved,v2,,
t092,Login keeps saying wrong password even though I just reset it. Help.,account_help,account_help,The customer is asking for help with their login issue.,True,improved,v2,,
t093,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,The customer is asking to change their payment method on file.,True,improved,v2,,
t094,I need to change my saved card. Can't find the setting.,account_help,account_help,The customer is asking to change their saved payment method.,True,improved,v2,,
t095,Where do I update my credit card info? Settings don't show it.,account_help,account_help,The customer is asking to update their credit card information.,True,improved,v2,,
t096,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,The customer is asking to update their shipping address for future orders.,True,improved,v2,,
t097,Drop my old shipping address from my account. Just moved.,account_help,account_help,The customer is asking to update their account information regarding their shipping address.,True,improved,v2,,
t098,Could you delete my previous shipping address? I don't want things sent there.,account_help,account_help,The customer is asking to change their account information regarding the shipping address.,True,improved,v2,,
t099,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,The customer is asking for help regarding unauthorized 2FA codes related to their account.,True,improved,v2,,
t100,2FA codes are showing up that I didn't ask for. Should I be worried?,account_help,other,"The customer is asking a general question about 2FA codes, not requesting a specific action.",False,improved,v2,,
t101,Random 2FA codes are arriving by SMS. I didn't request any.,account_help,account_help,"The customer is asking for help regarding unexpected 2FA codes, which relates to account security.",True,improved,v2,,
t102,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,The customer is asking for help with a checkout issue related to their account.,True,improved,v2,,
t103,Site logs me out every time I try to pay.,account_help,account_help,The customer is asking for help with a login issue related to payment.,True,improved,v2,,
t104,Can't finish my purchase — keeps signing me out at the payment step.,account_help,account_help,The customer is asking for help with a login issue while trying to complete a purchase.,True,improved,v2,,
t105,Your app keeps crashing whenever I try to view my order history.,account_help,account_help,The customer is asking for help with an issue related to their account functionality.,True,improved,v2,,
t106,App crashes every time I open my order history.,account_help,account_help,The customer is asking for help with an issue related to their account functionality.,True,improved,v2,,
t107,Whenever I tap on my orders the app force-closes.,account_help,account_help,The customer is asking for help with an issue related to their account's functionality.,True,improved,v2,,
t108,I forgot which email I used to sign up. How do I find my old account?,account_help,account_help,The customer is asking for help to find their old account by identifying the email used.,True,improved,v2,,
t109,Don't remember which email my account is under. How do I look it up?,account_help,account_help,The customer is asking for help to look up their account email.,True,improved,v2,,
t110,Lost track of the email I signed up with — can you help me find the account?,account_help,account_help,The customer is asking for help to find their account information.,True,improved,v2,,
t111,Need to change my account email to a different address — old one is dead.,account_help,account_help,The customer is asking to change their account email.,True,improved,v2,,
t112,Old email is gone — please switch my account to my new email.,account_help,account_help,The customer is asking to change their account email.,True,improved,v2,,
t113,My signup email is dead. I want to switch the account to a new one.,account_help,account_help,The customer is asking to change their account email.,True,improved,v2,,
t114,The discount code from your newsletter won't apply at checkout. Says 'invalid'.,account_help,other,"The customer is reporting an issue with a discount code, which does not fit into the other specified categories.",False,improved,v2,,
t115,Newsletter promo code is being rejected at checkout as invalid.,account_help,other,"The customer is asking about a general issue with a promo code, not requesting a specific action related to an order or account.",False,improved,v2,,
t116,My promo code says 'invalid' even though I just got the newsletter.,account_help,other,"The customer is asking about a promo code issue, which does not fit into the other specified categories.",False,improved,v2,,
t117,"Receipt email says I bought it, but the order isn't showing in my account.",account_help,account_help,The customer is asking to resolve an issue with their account where the order is not showing.,True,improved,v2,,
t118,Got a receipt by email but the order isn't in my account's order history.,account_help,account_help,The customer is asking to update or correct their account information regarding their order history.,True,improved,v2,,
t119,Email says my purchase went through but I don't see the order in my account.,account_help,account_help,The customer is asking for help with their account to see the order.,True,improved,v2,,
t120,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,"The customer is asking a general question about shipping to Canada, not requesting any specific action.",True,improved,v2,,
t121,Quick question — do you ship to Canada?,other,other,"The customer is asking a general question about shipping, not requesting any specific action.",True,improved,v2,,
t122,Couldn't find shipping info on the site. Do you ship to Canada?,other,other,"The customer is asking a general question about shipping to Canada, not requesting a specific action.",True,improved,v2,,
t123,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,The customer is providing feedback and not asking for any specific action.,True,improved,v2,,
t124,Big thanks to your customer service team — yesterday's rep was great!,other,other,The customer is providing feedback and not requesting any specific action.,True,improved,v2,,
t125,The rep I worked with yesterday was wonderful — please pass along my thanks.,other,other,The customer is providing feedback and not requesting any specific action.,True,improved,v2,,
t126,Is the red version of SKU-1140 back in stock?,other,other,"The customer is asking a general question about product availability, not requesting an action related to an order or account.",True,improved,v2,,
t127,Restock alert? When will SKU-1140 in red be back?,other,other,The customer is asking a general question about product availability.,True,improved,v2,,
t128,Looking for the red SKU-1140 — is it available again yet?,other,other,"The customer is asking about product availability, which does not fit the other categories.",True,improved,v2,,
t129,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The customer is asking a general question about discounts, not requesting a specific action related to an order or account.",True,improved,v2,,
t130,Any student-discount option? Didn't see one in checkout.,other,other,"The customer is asking a general question about discounts, not requesting a specific action related to an order or account.",True,improved,v2,,
t131,Is there a student discount on your store?,other,other,"The customer is asking a general question about discounts, not requesting any specific action.",True,improved,v2,,
t132,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The customer is asking a general question about sales, not requesting any specific action.",True,improved,v2,,
t133,Got any sales coming up? Birthday is around the corner.,other,other,"The customer is asking about upcoming sales, which is a general question.",True,improved,v2,,
t134,When does your next sale start? Want to time a big purchase.,other,other,"The customer is asking a general question about sales, not requesting any specific action.",True,improved,v2,,
t135,Do you have a sustainability report or info on where your products are sourced?,other,other,"The customer is asking for general information, not requesting an action related to an order or account.",True,improved,v2,,
t136,Where do you source your products from? Curious about sustainability.,other,other,The customer is asking a general question about product sourcing and sustainability.,True,improved,v2,,
t137,Any sustainability info available for your products?,other,other,"The customer is asking for general information about products, not requesting any specific action.",True,improved,v2,,
t138,Can I bulk-order 50 units? Looking for B2B pricing.,other,other,"The customer is inquiring about bulk ordering and pricing, which does not fit the other categories.",True,improved,v2,,
t139,Need 50 units — do you offer B2B pricing?,other,other,"The customer is asking a general question about pricing, not requesting a specific action related to an order or account.",True,improved,v2,,
t140,"Bulk order question — 50 units, any volume discount?",other,other,"The customer is asking a general question about bulk orders and discounts, not requesting a specific action.",True,improved,v2,,
t141,Why is shipping so expensive? Just feedback — not asking about a specific order.,other,other,The customer is providing feedback and not requesting any specific action.,True,improved,v2,,
t142,Your shipping prices are wild. Just sharing feedback.,other,other,"The customer is providing feedback, not requesting any specific action.",True,improved,v2,,
t143,"Shipping costs feel really high. Just venting, not about a specific order.",other,other,The customer is providing feedback and not requesting any specific action.,True,improved,v2,,
t144,Are the AirPods you sell authentic Apple products?,other,other,"The customer is asking a general question about product authenticity, not requesting any specific action.",True,improved,v2,,
t145,"Just want to make sure — the AirPods on your store are genuine Apple, right?",other,other,"The customer is asking a general question about product authenticity, not requesting an action.",True,improved,v2,,
t146,Are these AirPods real Apple gear or knock-offs?,other,other,The customer is asking a general question about the authenticity of the product.,True,improved,v2,,
t147,Do you sell gift cards? Couldn't find them anywhere on the site.,other,other,The customer is asking a general question about the availability of gift cards.,True,improved,v2,,
t148,Any gift cards available? Don't see them in the menu.,other,other,The customer is asking a general question about the availability of gift cards.,True,improved,v2,,
t149,Do you offer gift cards?,other,other,"The customer is asking a general question about gift cards, not requesting any specific action.",True,improved,v2,,
