id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t019,Promised 2-day delivery. Day nine. This is a joke.,order_status,order_status,The customer is inquiring about the status of their order and its delayed delivery.,True,baseline,v1,,
t020,You advertised 2-day shipping. Where is my order? It's been more than a week.,order_status,order_status,The customer is inquiring about the status of their order and its delivery time.,True,baseline,v1,,
t021,My item has been stuck in customs for 3 weeks. What can you do?,order_status,order_status,The customer is inquiring about the status of their order stuck in customs.,True,baseline,v1,,
t022,Customs has been holding my order for three weeks. Any way to speed this up?,order_status,order_status,The customer is inquiring about the status of their order and how to expedite the process.,True,baseline,v1,,
t023,It's been 21 days in customs. I need an update on when this will arrive.,order_status,order_status,The customer is inquiring about the status and delivery ETA of their order.,True,baseline,v1,,
t024,The carrier marked it delivered but it shows the wrong delivery address.,order_status,order_status,The customer is inquiring about the delivery status and address of their order.,True,baseline,v1,,
t025,Carrier delivered to the wrong address. The address on the label is not mine.,order_status,product_issue,"The item was delivered to the wrong address, indicating a problem with the delivery.",False,baseline,v1,,
t026,Order was sent to an address I don't recognize and now it's gone. What happened?,order_status,order_status,The customer is inquiring about the status and location of their order.,True,baseline,v1,,
t027,Where exactly is order #50221? I need it for my wedding tomorrow.,order_status,order_status,The customer is inquiring about the status and location of their order.,True,baseline,v1,,
t028,Order #50221 is for my wedding tomorrow. Where is it??,order_status,order_status,The customer is inquiring about the status and location of their order.,True,baseline,v1,,
t029,Wedding is tomorrow and order 50221 still hasn't arrived. Please help.,order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t030,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,The customer wants to return an item and get their money back.,True,baseline,v1,,
t031,Need to return these unopened headphones — refund please.,refund_request,refund_request,The customer is requesting a refund for unopened headphones.,True,baseline,v1,,
t032,"Hey, the headphones I bought last week are still sealed — can I return them for my money back?",refund_request,refund_request,The customer is asking to return an item for a refund.,True,baseline,v1,,
t033,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The customer is requesting a refund for their order.,True,baseline,v1,,
t034,Cancel order 99021 and refund the charge — I changed my mind.,refund_request,refund_request,The customer is requesting a refund for their order.,True,baseline,v1,,
t035,Please void order 99021 and put the money back on my card.,refund_request,refund_request,The customer is requesting to void an order and get their money back.,True,baseline,v1,,
t036,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The customer is inquiring about the status of their refund.,True,baseline,v1,,
t037,"Returned the item two weeks ago, no refund yet — where is it?",refund_request,refund_request,The customer is inquiring about a refund for a returned item.,True,baseline,v1,,
t038,I sent the product back 14 days ago. My card still hasn't been credited. What's the holdup?,refund_request,refund_request,The customer is inquiring about a refund for a returned product.,True,baseline,v1,,
t039,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The customer is requesting a refund for the difference in price charged.,True,baseline,v1,,
t040,"Charged $89, but the site listed $79. Please refund the $10 difference.",refund_request,refund_request,The customer is requesting a refund for a discrepancy in the charged amount.,True,baseline,v1,,
t041,You overcharged me by $10. Please credit the difference back to my card.,refund_request,refund_request,"The customer is requesting a credit for an overcharge, which falls under refund requests.",True,baseline,v1,,
t042,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,The customer is requesting a refund to their original card.,True,baseline,v1,,
t043,"Returning these — and please refund to my card, not store credit.",refund_request,refund_request,The customer is requesting a refund to their card.,True,baseline,v1,,
t044,Happy to return these but I'd rather get a real refund than store credit.,refund_request,refund_request,The customer is requesting a refund instead of store credit.,True,baseline,v1,,
t045,I was double-charged on the same order. Please refund the duplicate transaction.,refund_request,refund_request,The customer is requesting a refund for a duplicate charge.,True,baseline,v1,,
t046,There are two charges on my card for the same order. Please refund one.,refund_request,refund_request,The customer is requesting a refund for one of the duplicate charges.,True,baseline,v1,,
t047,Card was hit twice for one order — please reverse the duplicate.,refund_request,refund_request,"The customer is requesting a reversal of a duplicate charge, which falls under refund requests.",True,baseline,v1,,
t048,The price dropped two days after I bought it. Can I get the difference back?,refund_request,refund_request,The customer is asking for a refund of the price difference after a price drop.,True,baseline,v1,,
t049,Saw the same item dropped in price right after I bought it. Any way to get the difference?,refund_request,refund_request,"The customer is asking for a price adjustment, which typically involves a refund of the price difference.",True,baseline,v1,,
t050,Item went on sale right after I ordered. Do you do price adjustments?,refund_request,other,"The inquiry is about price adjustments, which does not fit into the specified categories.",False,baseline,v1,,
t051,Cancel my subscription and refund this month's charge — I never used it.,refund_request,refund_request,The customer is requesting a refund for a charge related to their subscription.,True,baseline,v1,,
t052,Please cancel my subscription and refund this month — I haven't used the service.,refund_request,refund_request,The customer is requesting a refund for a subscription they want to cancel.,True,baseline,v1,,
t053,"Subscription cancel + refund of this month, please. I haven't used it once.",refund_request,refund_request,The customer is requesting a refund for a subscription they have not used.,True,baseline,v1,,
t054,Your return window says 30 days. I missed it by 2 days. Refund anyway?,refund_request,refund_request,The customer is requesting a refund despite missing the return window.,True,baseline,v1,,
t055,I'm just past the 30-day return window — would you still take it back for a refund?,refund_request,refund_request,The customer is inquiring about the possibility of returning an item for a refund.,True,baseline,v1,,
t056,Return window technically ended 2 days ago. Any chance of a refund?,refund_request,refund_request,The customer is inquiring about the possibility of a refund.,True,baseline,v1,,
t057,Disputing this charge with my bank — but I'd rather just get a refund directly from you.,refund_request,refund_request,The customer is seeking a refund directly from the company.,True,baseline,v1,,
t058,Was about to dispute with my bank — would rather just get refunded by you instead.,refund_request,refund_request,The customer is seeking a refund instead of disputing the charge with their bank.,True,baseline,v1,,
t059,Don't want to do a chargeback — please just refund me directly.,refund_request,refund_request,The customer is requesting a refund directly.,True,baseline,v1,,
t060,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,The item arrived broken.,True,baseline,v1,,
t061,Coffee maker showed up with the carafe cracked. Not happy.,product_issue,product_issue,The item arrived broken.,True,baseline,v1,,
t062,The carafe on the coffee maker was already cracked when I opened the box.,product_issue,product_issue,The item arrived broken.,True,baseline,v1,,
t063,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,"The customer received the wrong size shirt, which indicates a product issue.",True,baseline,v1,,
t064,"Wrong size again — got a medium, ordered a large. This is twice now.",product_issue,product_issue,"The customer received the wrong size item, which indicates a product issue.",True,baseline,v1,,
t065,I ordered a large shirt and you sent a medium. Second time this has happened.,product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t066,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,The item arrived damaged and missing parts.,True,baseline,v1,,
t067,"Product works, but the box arrived crushed and there's no manual inside.",product_issue,product_issue,The item arrived broken (crushed box) and missing a manual.,True,baseline,v1,,
t068,Box was destroyed and the manual is missing. The actual product is fine though.,product_issue,product_issue,"The ticket mentions a destroyed box and a missing manual, indicating an issue with the product's packaging.",True,baseline,v1,,
t069,It's defective — third one in a row from your store.,product_issue,product_issue,The customer is reporting a defect with the product they received.,True,baseline,v1,,
t070,Third defective unit from you — this one doesn't work either.,product_issue,product_issue,The customer is reporting that the item received is defective.,True,baseline,v1,,
t071,Yet another defective product. Three for three from your store.,product_issue,product_issue,The customer is reporting that the product is defective.,True,baseline,v1,,
t072,"My laptop arrived damaged and I want a full refund, not a replacement.",refund_request,refund_request,The customer is requesting a full refund for a damaged laptop.,True,baseline,v1,,
t073,"Laptop showed up damaged. I want my money back, not a replacement.",refund_request,refund_request,The customer is requesting a refund for a damaged item.,True,baseline,v1,,
t074,"Damaged laptop on arrival — please refund me in full, no replacement.",refund_request,refund_request,The customer is requesting a full refund for a damaged laptop.,True,baseline,v1,,
t075,Sent the wrong color — I want my money back.,refund_request,refund_request,The customer received the wrong color and is requesting a refund.,True,baseline,v1,,
t076,Wrong color shipped. Refund please.,refund_request,refund_request,The customer is requesting a refund due to receiving the wrong color.,True,baseline,v1,,
t077,You sent the wrong color. Just refund me.,refund_request,refund_request,The customer is requesting a refund due to receiving the wrong color.,True,baseline,v1,,
t078,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,The customer is reporting a misleading product description related to the functionality of the item.,True,baseline,v1,,
t079,Description claimed wireless. I had to buy a dongle separately. Felt misled.,product_issue,product_issue,"The customer feels misled about the product description, indicating an issue with the item received.",True,baseline,v1,,
t080,"Item is technically wireless but only with a separate dongle, which the listing didn't mention.",product_issue,product_issue,The customer is indicating that the item did not match the description provided in the listing.,True,baseline,v1,,
t081,This pillow is way smaller than what the photos suggested. False advertising.,product_issue,product_issue,The customer is reporting that the item received does not match the description or expectations set by the photos.,True,baseline,v1,,
t082,Pillow is much smaller than the photos. Misleading.,product_issue,product_issue,The customer is reporting that the item received does not match the description.,True,baseline,v1,,
t083,"Got the pillow, it's tiny compared to the photos on the site.",product_issue,product_issue,The customer is reporting that the item received does not match the description or expectations set by the photos.,True,baseline,v1,,
t084,The blender stopped working after 3 days. Can I get a replacement?,product_issue,product_issue,The item arrived defective as it stopped working shortly after purchase.,True,baseline,v1,,
t085,"Blender died after three days of use. Replacement, please.",product_issue,product_issue,The item arrived defective and the customer is requesting a replacement.,True,baseline,v1,,
t086,My blender stopped working three days in — can you send a replacement?,product_issue,product_issue,The customer is reporting a problem with a product that arrived defective.,True,baseline,v1,,
t087,Item smells strongly of chemicals — definitely not okay to use around food.,product_issue,product_issue,"The item arrived with a strong chemical smell, indicating a potential defect or safety issue.",True,baseline,v1,,
t088,Strong chemical smell on the item. I wouldn't use this around food.,product_issue,product_issue,"The item has a strong chemical smell, indicating a potential defect or issue with the product.",True,baseline,v1,,
t089,Whatever you sent reeks of chemicals. Not food-safe.,product_issue,product_issue,"The customer is reporting that the item is not safe for food use, indicating a problem with the product.",True,baseline,v1,,
t090,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,The customer is experiencing issues with logging into their account.,True,baseline,v1,,
t091,Password reset didn't help — still can't log in.,account_help,account_help,"The customer is experiencing issues with logging in, which falls under account help.",True,baseline,v1,,
t092,Login keeps saying wrong password even though I just reset it. Help.,account_help,account_help,The customer is experiencing issues with their login credentials.,True,baseline,v1,,
t093,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,The customer is asking for assistance with updating their payment method.,True,baseline,v1,,
t094,I need to change my saved card. Can't find the setting.,account_help,account_help,The customer is asking for help with changing their saved payment method.,True,baseline,v1,,
t095,Where do I update my credit card info? Settings don't show it.,account_help,account_help,"The customer is asking about updating their credit card information, which relates to account management.",True,baseline,v1,,
t096,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,The customer is requesting assistance with updating their shipping address.,True,baseline,v1,,
t097,Drop my old shipping address from my account. Just moved.,account_help,account_help,The customer is requesting assistance with updating their shipping address in their account.,True,baseline,v1,,
t098,Could you delete my previous shipping address? I don't want things sent there.,account_help,account_help,"The customer is requesting assistance with their shipping address, which falls under account help.",True,baseline,v1,,
t099,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,The customer is concerned about unauthorized access to their account and needs help with 2FA.,True,baseline,v1,,
t100,2FA codes are showing up that I didn't ask for. Should I be worried?,account_help,account_help,"The ticket is about 2FA codes, which relates to account security and access.",True,baseline,v1,,
t101,Random 2FA codes are arriving by SMS. I didn't request any.,account_help,account_help,The customer is experiencing issues related to account security and 2FA codes.,True,baseline,v1,,
t102,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,The issue is related to logging in and payment processing.,True,baseline,v1,,
t103,Site logs me out every time I try to pay.,account_help,account_help,The issue relates to login problems during the payment process.,True,baseline,v1,,
t104,Can't finish my purchase — keeps signing me out at the payment step.,account_help,account_help,The issue is related to login problems during the payment process.,True,baseline,v1,,
t105,Your app keeps crashing whenever I try to view my order history.,account_help,account_help,"The issue relates to accessing account information, specifically order history.",True,baseline,v1,,
t106,App crashes every time I open my order history.,account_help,account_help,The issue relates to accessing account information.,True,baseline,v1,,
t107,Whenever I tap on my orders the app force-closes.,account_help,account_help,"The issue relates to the app functionality, which is tied to the user's account.",True,baseline,v1,,
t108,I forgot which email I used to sign up. How do I find my old account?,account_help,account_help,The customer is seeking assistance with their account login information.,True,baseline,v1,,
t109,Don't remember which email my account is under. How do I look it up?,account_help,account_help,The customer is seeking assistance with their account email.,True,baseline,v1,,
t110,Lost track of the email I signed up with — can you help me find the account?,account_help,account_help,The customer is asking for help with their account information.,True,baseline,v1,,
t111,Need to change my account email to a different address — old one is dead.,account_help,account_help,The customer is requesting assistance with changing their account email address.,True,baseline,v1,,
t112,Old email is gone — please switch my account to my new email.,account_help,account_help,The customer is requesting assistance with changing their account email.,True,baseline,v1,,
t113,My signup email is dead. I want to switch the account to a new one.,account_help,account_help,The customer is requesting assistance with changing their account email.,True,baseline,v1,,
t114,The discount code from your newsletter won't apply at checkout. Says 'invalid'.,account_help,other,"The issue is related to a discount code, which does not fit into the specified categories.",False,baseline,v1,,
t115,Newsletter promo code is being rejected at checkout as invalid.,account_help,other,"The issue is related to a promo code, which does not fit into the specified categories.",False,baseline,v1,,
t116,My promo code says 'invalid' even though I just got the newsletter.,account_help,other,"The ticket is about a promo code issue, which does not fit into the specified categories.",False,baseline,v1,,
t117,"Receipt email says I bought it, but the order isn't showing in my account.",account_help,account_help,The customer is experiencing an issue with their account not displaying an order that they received a receipt for.,True,baseline,v1,,
t118,Got a receipt by email but the order isn't in my account's order history.,account_help,account_help,The customer is inquiring about an issue related to their account's order history.,True,baseline,v1,,
t119,Email says my purchase went through but I don't see the order in my account.,account_help,account_help,The customer is inquiring about their account and the visibility of their order.,True,baseline,v1,,
t120,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,"The question is about shipping policies, which does not fit into the specified categories.",True,baseline,v1,,
t121,Quick question — do you ship to Canada?,other,other,"The question is about shipping policies, which does not fit into the specified categories.",True,baseline,v1,,
t122,Couldn't find shipping info on the site. Do you ship to Canada?,other,other,The customer is asking a general question about shipping policies.,True,baseline,v1,,
t123,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,"The ticket is feedback about customer service, which does not fit into the other categories.",True,baseline,v1,,
t124,Big thanks to your customer service team — yesterday's rep was great!,other,other,"The ticket expresses gratitude and feedback about customer service, which does not fit into the other specified categories.",True,baseline,v1,,
t125,The rep I worked with yesterday was wonderful — please pass along my thanks.,other,other,The ticket expresses gratitude and does not pertain to any specific support category.,True,baseline,v1,,
t126,Is the red version of SKU-1140 back in stock?,other,other,"The ticket is a general inquiry about product availability, not related to an order or account issue.",True,baseline,v1,,
t127,Restock alert? When will SKU-1140 in red be back?,other,other,"The customer is inquiring about restock information, which does not fit into the specified categories.",True,baseline,v1,,
t128,Looking for the red SKU-1140 — is it available again yet?,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t129,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The inquiry is about a discount policy, which does not fit into the specified categories.",True,baseline,v1,,
t130,Any student-discount option? Didn't see one in checkout.,other,other,"The inquiry is about a discount option, which does not fit into the specified categories.",True,baseline,v1,,
t131,Is there a student discount on your store?,other,other,"The inquiry is about a discount policy, which does not fit into the specified categories.",True,baseline,v1,,
t132,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The customer is asking about future sales, which does not fit into the specified categories.",True,baseline,v1,,
t133,Got any sales coming up? Birthday is around the corner.,other,other,"The customer is inquiring about upcoming sales, which does not fit into the specified categories.",True,baseline,v1,,
t134,When does your next sale start? Want to time a big purchase.,other,other,"The ticket is a general question about sales, not related to an order, refund, product issue, or account help.",True,baseline,v1,,
t135,Do you have a sustainability report or info on where your products are sourced?,other,other,"The ticket is a general question about sustainability and sourcing, not related to orders, refunds, products, or account issues.",True,baseline,v1,,
t136,Where do you source your products from? Curious about sustainability.,other,other,"The question is about sourcing and sustainability, which does not fit into the specified categories.",True,baseline,v1,,
t137,Any sustainability info available for your products?,other,other,"The ticket is a general question about sustainability information, which does not fit into the specified categories.",True,baseline,v1,,
t138,Can I bulk-order 50 units? Looking for B2B pricing.,other,other,"The inquiry is about bulk ordering and pricing, which does not fit into the specified categories.",True,baseline,v1,,
t139,Need 50 units — do you offer B2B pricing?,other,other,"The inquiry is about pricing for bulk orders, which does not fit into the specified categories.",True,baseline,v1,,
t140,"Bulk order question — 50 units, any volume discount?",other,other,"The ticket is a general inquiry about bulk order discounts, not related to order status, refunds, product issues, or account help.",True,baseline,v1,,
t141,Why is shipping so expensive? Just feedback — not asking about a specific order.,other,other,"The customer is providing feedback about shipping costs, which does not fit into the other specified categories.",True,baseline,v1,,
t142,Your shipping prices are wild. Just sharing feedback.,other,other,"The ticket is providing feedback about shipping prices, which does not fit into the other specified categories.",True,baseline,v1,,
t143,"Shipping costs feel really high. Just venting, not about a specific order.",other,other,"The customer is expressing a general concern about shipping costs, not related to a specific order.",True,baseline,v1,,
t144,Are the AirPods you sell authentic Apple products?,other,other,"The question is about product authenticity, which does not fit into the specified categories.",True,baseline,v1,,
t145,"Just want to make sure — the AirPods on your store are genuine Apple, right?",other,other,The customer is asking a general question about product authenticity.,True,baseline,v1,,
t146,Are these AirPods real Apple gear or knock-offs?,other,other,"The question is about the authenticity of the product, which does not fit into the specified categories.",True,baseline,v1,,
t147,Do you sell gift cards? Couldn't find them anywhere on the site.,other,other,"The customer is asking a general question about gift cards, which does not fit into the other specified categories.",True,baseline,v1,,
t148,Any gift cards available? Don't see them in the menu.,other,other,"The customer is inquiring about the availability of gift cards, which does not fit into the specified categories.",True,baseline,v1,,
t149,Do you offer gift cards?,other,other,"The question is about gift cards, which does not fit into the specified categories.",True,baseline,v1,,
